Experiment,Genotype,Environment,Repno,Yield
Experiment 1,G15,E4,1,54.32559119
Experiment 1,G10,E4,1,51.03945007
Experiment 1,G9,E4,2,55.98329879
Experiment 1,G16,E4,2,69.91610214
Experiment 1,G2,E4,2,57.15830637
Experiment 1,G17,E4,1,55.24805655
Experiment 1,G18,E4,2,55.29241877
Experiment 1,G5,E4,2,59.16161259
Experiment 1,G15,E4,2,55.76143839
Experiment 1,G13,E4,1,54.1267991
Experiment 1,G19,E4,1,58.72233297
Experiment 1,G19,E4,2,61.15060397
Experiment 1,G3,E4,2,44.22573849
Experiment 1,G6,E4,1,58.81681692
Experiment 1,G7,E4,1,46.95461145
Experiment 1,G14,E4,1,48.34541253
Experiment 1,G20,E4,2,57.75584242
Experiment 1,G4,E4,1,59.82243539
Experiment 1,G12,E4,1,51.60327085
Experiment 1,G17,E4,2,54.81816485
Experiment 1,G8,E4,1,58.68146029
Experiment 1,G1,E4,1,54.17466069
Experiment 1,G18,E4,1,50.03334587
Experiment 1,G20,E4,1,57.23910992
Experiment 1,G16,E4,1,61.51529564
Experiment 1,G16,E5,2,48.72650084
Experiment 1,G8,E5,1,41.29203619
Experiment 1,G5,E5,1,48.44911589
Experiment 1,G15,E5,2,43.05502339
Experiment 1,G1,E5,2,48.24093589
Experiment 1,G2,E5,2,48.73683057
Experiment 1,G10,E5,2,49.56687397
Experiment 1,G19,E5,2,47.38782417
Experiment 1,G14,E5,1,37.79975723
Experiment 1,G6,E5,1,45.48853852
Experiment 1,G9,E5,2,43.47123469
Experiment 1,G4,E5,1,58.51000919
Experiment 1,G1,E5,1,50.42013439
Experiment 1,G11,E5,2,52.43728952
Experiment 1,G19,E5,1,46.86871247
Experiment 1,G3,E5,2,45.54515359
Experiment 1,G16,E5,1,53.29054994
Experiment 1,G14,E5,2,40.18460783
Experiment 1,G10,E5,1,44.27583057
Experiment 1,G4,E5,2,56.01987899
Experiment 1,G6,E5,2,46.52661322
Experiment 1,G17,E5,1,48.95774915
Experiment 1,G7,E5,2,48.23283665
Experiment 1,G17,E5,2,49.06288005
Experiment 1,G18,E5,1,41.06093657
Experiment 1,G9,E5,1,48.03290459
Experiment 1,G20,E5,2,47.25137702
Experiment 1,G12,E5,2,49.78779255
Experiment 1,G2,E5,1,48.94501057
Experiment 1,G8,E5,2,45.23407319
Experiment 1,G3,E5,1,43.16015429
Experiment 1,G13,E5,2,50.8570348
Experiment 1,G5,E5,2,49.59009099
Experiment 1,G11,E5,1,47.97852002
Experiment 1,G12,E5,1,49.37381175
Experiment 1,G18,E5,2,43.65381847
Experiment 1,G7,E5,1,51.65591065
Experiment 1,G13,E5,1,52.2061899
Experiment 1,G20,E5,1,49.63622762
Experiment 1,G15,E5,1,49.69299139
Experiment 1,G6,E6,2,76.46393812
Experiment 1,G6,E6,1,62.83231172
Experiment 1,G19,E6,1,63.38259097
Experiment 1,G10,E6,1,70.07825457
Experiment 1,G20,E6,2,63.39603342
Experiment 1,G2,E6,1,56.44484377
Experiment 1,G17,E6,2,57.78458115
Experiment 1,G3,E6,2,51.09865249
Experiment 1,G10,E6,2,62.57693437
Experiment 1,G13,E6,1,70.7590428
Experiment 1,G14,E6,2,53.98932103
Experiment 1,G3,E6,1,53.19725559
Experiment 1,G1,E6,2,73.60647929
Experiment 1,G12,E6,2,52.05799545
Experiment 1,G13,E6,2,69.6296663
